INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,PRC,OPR_INTERVAL,GROUP
2022-02-01T08:00:00-00:00,2022-02-01T08:15:00-00:00,2022-02-01,01,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,34.42116,1,1
2022-02-01T09:00:00-00:00,2022-02-01T09:15:00-00:00,2022-02-01,02,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,33.58737,1,1
2022-02-01T10:00:00-00:00,2022-02-01T10:15:00-00:00,2022-02-01,03,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,35.125,1,1
2022-02-01T11:00:00-00:00,2022-02-01T11:15:00-00:00,2022-02-01,04,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,35.79503,1,1
2022-02-01T12:00:00-00:00,2022-02-01T12:15:00-00:00,2022-02-01,05,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,36.08649,1,1
2022-02-01T13:00:00-00:00,2022-02-01T13:15:00-00:00,2022-02-01,06,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,41.21586,1,1
2022-02-01T14:00:00-00:00,2022-02-01T14:15:00-00:00,2022-02-01,07,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,45.96643,1,1
2022-02-01T15:00:00-00:00,2022-02-01T15:15:00-00:00,2022-02-01,08,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,64.70852,1,1
2022-02-01T16:00:00-00:00,2022-02-01T16:15:00-00:00,2022-02-01,09,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,80.04524,1,1
2022-02-01T17:00:00-00:00,2022-02-01T17:15:00-00:00,2022-02-01,10,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,40.61395,1,1
2022-02-01T18:00:00-00:00,2022-02-01T18:15:00-00:00,2022-02-01,11,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,38.81598,1,1
2022-02-01T19:00:00-00:00,2022-02-01T19:15:00-00:00,2022-02-01,12,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,35.22618,1,1
2022-02-01T20:00:00-00:00,2022-02-01T20:15:00-00:00,2022-02-01,13,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,31.3038,1,1
2022-02-01T21:00:00-00:00,2022-02-01T21:15:00-00:00,2022-02-01,14,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,23.4917,1,1
2022-02-01T22:00:00-00:00,2022-02-01T22:15:00-00:00,2022-02-01,15,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,35.09776,1,1
2022-02-01T23:00:00-00:00,2022-02-01T23:15:00-00:00,2022-02-01,16,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,23.13429,1,1
2022-02-02T00:00:00-00:00,2022-02-02T00:15:00-00:00,2022-02-01,17,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,37.24534,1,1
2022-02-02T01:00:00-00:00,2022-02-02T01:15:00-00:00,2022-02-01,18,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,53.21908,1,1
2022-02-02T02:00:00-00:00,2022-02-02T02:15:00-00:00,2022-02-01,19,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,68.71915,1,1
2022-02-02T03:00:00-00:00,2022-02-02T03:15:00-00:00,2022-02-01,20,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,69.03376,1,1
2022-02-02T04:00:00-00:00,2022-02-02T04:15:00-00:00,2022-02-01,21,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,81.91642,1,1
2022-02-02T05:00:00-00:00,2022-02-02T05:15:00-00:00,2022-02-01,22,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,69.4829,1,1
2022-02-02T06:00:00-00:00,2022-02-02T06:15:00-00:00,2022-02-01,23,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,69.8533,1,1
2022-02-02T07:00:00-00:00,2022-02-02T07:15:00-00:00,2022-02-01,24,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,65.0167,1,1
2022-02-01T08:15:00-00:00,2022-02-01T08:30:00-00:00,2022-02-01,01,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,33.96927,2,1
2022-02-01T09:15:00-00:00,2022-02-01T09:30:00-00:00,2022-02-01,02,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,34.6696,2,1
2022-02-01T10:15:00-00:00,2022-02-01T10:30:00-00:00,2022-02-01,03,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,35.01089,2,1
2022-02-01T11:15:00-00:00,2022-02-01T11:30:00-00:00,2022-02-01,04,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,36.20289,2,1
2022-02-01T12:15:00-00:00,2022-02-01T12:30:00-00:00,2022-02-01,05,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,36.61648,2,1
2022-02-01T13:15:00-00:00,2022-02-01T13:30:00-00:00,2022-02-01,06,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,41.7479,2,1
2022-02-01T14:15:00-00:00,2022-02-01T14:30:00-00:00,2022-02-01,07,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,52.45302,2,1
2022-02-01T15:15:00-00:00,2022-02-01T15:30:00-00:00,2022-02-01,08,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,64.67626,2,1
2022-02-01T16:15:00-00:00,2022-02-01T16:30:00-00:00,2022-02-01,09,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,54.42612,2,1
2022-02-01T17:15:00-00:00,2022-02-01T17:30:00-00:00,2022-02-01,10,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,36.4674,2,1
2022-02-01T18:15:00-00:00,2022-02-01T18:30:00-00:00,2022-02-01,11,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,39.18181,2,1
2022-02-01T19:15:00-00:00,2022-02-01T19:30:00-00:00,2022-02-01,12,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,36.09027,2,1
2022-02-01T20:15:00-00:00,2022-02-01T20:30:00-00:00,2022-02-01,13,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,31.39248,2,1
2022-02-01T21:15:00-00:00,2022-02-01T21:30:00-00:00,2022-02-01,14,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,23.09168,2,1
2022-02-01T22:15:00-00:00,2022-02-01T22:30:00-00:00,2022-02-01,15,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,35.56357,2,1
2022-02-01T23:15:00-00:00,2022-02-01T23:30:00-00:00,2022-02-01,16,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,35.98673,2,1
2022-02-02T00:15:00-00:00,2022-02-02T00:30:00-00:00,2022-02-01,17,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,39.8563,2,1
2022-02-02T01:15:00-00:00,2022-02-02T01:30:00-00:00,2022-02-01,18,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,63.71248,2,1
2022-02-02T02:15:00-00:00,2022-02-02T02:30:00-00:00,2022-02-01,19,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,61.38214,2,1
2022-02-02T03:15:00-00:00,2022-02-02T03:30:00-00:00,2022-02-01,20,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,68.82091,2,1
2022-02-02T04:15:00-00:00,2022-02-02T04:30:00-00:00,2022-02-01,21,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,73.99196,2,1
2022-02-02T05:15:00-00:00,2022-02-02T05:30:00-00:00,2022-02-01,22,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,78.14423,2,1
2022-02-02T06:15:00-00:00,2022-02-02T06:30:00-00:00,2022-02-01,23,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,56.61317,2,1
2022-02-02T07:15:00-00:00,2022-02-02T07:30:00-00:00,2022-02-01,24,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,54.33006,2,1
2022-02-01T08:30:00-00:00,2022-02-01T08:45:00-00:00,2022-02-01,01,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,34.23773,3,1
2022-02-01T09:30:00-00:00,2022-02-01T09:45:00-00:00,2022-02-01,02,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,34.58347,3,1
2022-02-01T10:30:00-00:00,2022-02-01T10:45:00-00:00,2022-02-01,03,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,35.13335,3,1
2022-02-01T11:30:00-00:00,2022-02-01T11:45:00-00:00,2022-02-01,04,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,37.59104,3,1
2022-02-01T12:30:00-00:00,2022-02-01T12:45:00-00:00,2022-02-01,05,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,39.26883,3,1
2022-02-01T13:30:00-00:00,2022-02-01T13:45:00-00:00,2022-02-01,06,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,49.68264,3,1
2022-02-01T14:30:00-00:00,2022-02-01T14:45:00-00:00,2022-02-01,07,12STREET_LNODEEET1,12STREET_LNODEEET1,12STREET_LNODEEET1,RTPD,LMP,LMP_PRC,12STREET_LNODEEET1,ALL,1,70.32811,3,1
